,Full.ID,Sample.Type,Upper.Depth,Lower.Depth,Depth,Climo,Site,Horizon,Category,Pit,EEMT,AI,MAP,MAT,Elevation,CIW,pH.CaCl2,pH.DI,Silt.Percent,Sand.Percent,Clay.Percent,Random.Pit,P.Stock.kg.m2.43cm.pit,N.Stock.kg.m2.43cm.pit,P.Stock.Pit.O.A.B.CwGeo,N.Stock.Pit.O.A.B.CwGeo,N.mmol.kgsoil,P.mmol.kgsoil,soil.molar.N.P,soil.N.mg.kg,soil.P.mg.kg,soil.mass.N.P,Olsen_P,Olsen_P.mmol.kg,Olsen.percent.of.total,soil.P.percent,P.Stock.kg.m2,soil.N.percent,N.Stock.kg.m2,soil.C.mg.kg,soil.C.percent,soil.molar.C.N,soil.molar.C.P,MB.N.P,MB.N.P.molar,MB.C.mmol.kg,MB.N.mmol.kg,MB.P.mmol.kg,MBP.percent,MBN.percent,MBC,MBP,MBN,mmolMBP.mmolMBC,mmolMBN.mmolMBC,MB.N.P.MBC,mmolMBP.mmolSOC,mmolMBN.mmolSOC,mmolMBC.mmolSOC,MBC.percent,MB.C.N.molar,MB.C.P.molar,Enzyme.N.P.molar,Enzyme.N.P.mass,NAG.corr,AP.corr,BG.corr,NAG.SOC,AP.SOC,NAG.MBC,AP.MBC,BG.SOC,BG.MBC,Enzyme.C.N.molar,Enzyme.C.P.molar,Root.N.mg.kg,Root.P.mg.kg,Root.N.mmol.kg,Root.P.mmol.kg,Root.N.P.mmol.kg,Root.N.P.mg.kg,Root.C.mg.kg,Root.C.mmol.kg,Root.C.N.mmol.kg,Root.C.P.mmol.kg,NMR.Ortho.Percent,NMR.DNA.Percent,NMR.Pyro.Percent,NMR.Phosphonate.Percent,NMR.Phospholipid.A.B.RNA.Corr.Percent,NMR.Diester.2.Percent,NMR.Mono.A.B.RNA.Corr.Percent,NMR.Die.Region.A.B.RNA.Percent,NMR.Mono.Die.Region.A.B.RNA,NMR.Total.Inorganic.Percent,NMR.Total.Organic.Percent,Ca.Pi.Percent,Ca.Po.Percent,Al.Pi.Percent,Al.Po.Percent,Fe.Pi.Percent,Fe.Po.Percent,Na.Pi.Percent,Na.Po.Percent,XANES.Total.Inorganic.Percent,XANES.Total.Organic.Percent,C.mmol.kgsoil,C.g.kg.Bd.thick.gravel.weighted,P.Stock.kg.m2.43cm.pit.log,N.Stock.kg.m2.43cm.pit.log,P.Stock.Pit.O.A.B.CwGeo.log,N.Stock.Pit.O.A.B.CwGeo.log,N.mmol.kgsoil.log,P.mmol.kgsoil.log,C.mmol.kgsoil.log,soil.molar.N.P.log,soil.molar.C.N.log,soil.molar.C.P.log,soil.N.mg.kg.log,soil.P.mg.kg.log,soil.C.mg.kg.log,soil.mass.N.P.log,Olsen_P.log,Olsen_P.mmol.kg.log,Olsen.percent.of.total.log,soil.P.percent.log,soil.C.percent.log,P.Stock.kg.m2.log,soil.N.percent.log,N.Stock.kg.m2.log,MB.N.P.log,MB.C.N.molar.log,MB.C.P.molar.log,MB.N.P.molar.log,MB.C.mmol.kg.log,MB.N.mmol.kg.log,MB.P.mmol.kg.log,MBP.percent.log,MBN.percent.log,MBC.percent.log,MBC.log,MBP.log,MBN.log,mmolMBP.mmolMBC.log,mmolMBN.mmolMBC.log,MB.N.P.MBC.log,mmolMBP.mmolSOC.log,mmolMBN.mmolSOC.log,mmolMBC.mmolSOC.log,Enzyme.N.P.molar.log,Enzyme.C.N.molar.log,Enzyme.C.P.molar.log,Enzyme.N.P.mass.log,BG.corr.log,NAG.corr.log,AP.corr.log,NAG.SOC.log,AP.SOC.log,BG.SOC.log,NAG.MBC.log,AP.MBC.log,BG.MBC.log,Root.N.mg.kg.log,Root.P.mg.kg.log,Root.C.mg.kg.log,Root.N.mmol.kg.log,Root.P.mmol.kg.log,Root.C.mmol.kg.log,Root.N.P.mmol.kg.log,Root.C.N.mmol.kg.log,Root.C.P.mmol.kg.log,Root.N.P.mg.kg.log
4,BAR 1 0-7,Soil,0,7,3.5,WM,BAR,A,A,A,2.777,1.58,538.4,0.1,3870,43.69846036,6.06,6.42,29.59,64.97,5.45,R,0.2886,0.1552,2.01,0.16,253.17,36.13,7.007196236,3546.9117,1118.9461,3.168745755,NA,NA,NA,0.11189461,0.029,0.35469117,0.09,36920,3.692,12.14259193,85.08552449,NA,NA,160.3040208,8.847103158,NA,NA,0.012391872,1925.411594,NA,123.9187198,NA,0.055189527,NA,NA,0.002877912,0.052145973,0.192541159,18.11983222,NA,NA,NA,NA,9.162322988,NA,NA,2.98E-06,NA,5.72E-05,NA,NA,NA,NA,8259.555556,695.111111,589.6860471,22.4446597,26.27288874,11.88235294,500100,41637.8729,70.6102393,1855.134961,27.43,1.85,1.46,0,41.28181778,0.187699355,27.89,43.22,0.65,28.89,71.11,0,46.6,0,0,21.8,32.6,0,0,21.8,79.2,3074.14,36.92,-0.539703673,-0.809108283,0.303196057,-0.795880017,2.405124289,1.557867962,3.487723642,0.84554428,1.0843114,1.92985568,3.549972803,3.048809167,4.567261692,0.500887395,NA,NA,NA,-0.951190833,0.567261692,-1.537602002,0.1318403,0.037426498,NA,1.258154172,NA,NA,2.204944416,0.946801091,NA,NA,-1.906863082,-0.715476417,3.284523583,NA,2.093136918,NA,-1.258143324,NA,NA,-2.540922551,-1.282779226,NA,NA,NA,NA,NA,NA,0.962005597,NA,-5.525718045,NA,NA,-4.242938818,NA,3.916956679,2.842054231,5.699056855,2.770620852,1.351113025,4.619488535,1.419507827,1.848867683,3.26837551,1.074902448
8,BAR 1 7-23,Soil,7,23,15,WM,BAR,B,B,A,2.777,1.58,538.4,0.1,3870,45.37501752,5.94,6.53,13.53,79.42,7.04,R,NA,NA,NA,NA,61.24,42.26,1.449124468,857.9724,1308.7922,0.655378714,1.27423811,0.041144272,0.097359849,0.13087922,0.0618,0.08579724,0.04,9170,0.917,12.46815807,18.06791292,6.190983732,13.68878938,41.68901892,1.614781225,0.117963772,0.000365334,0.002261776,500.7268062,3.653338009,22.61775618,0.002829613,0.03873397,13.68878938,0.000154494,0.002114834,0.054598938,0.050072681,25.81777616,353.4141001,NA,NA,NA,4.408430731,NA,NA,5.77E-06,NA,0.000105746,NA,NA,NA,NA,12342.59542,1612.21374,881.1922451,52.05727284,16.9273609,7.65568182,348900,29049.09789,32.96567582,558.021892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.2,0,0,24.3,44.1,0,0,0,74.3,24.3,763.55,1.110945503,NA,NA,NA,NA,1.794069584,1.625929493,2.882837481,0.161105689,1.095802299,1.256907989,2.93397921,3.116870698,3.962369336,-0.183507668,0.10525059,-1.385690616,-1.011620108,-0.883129302,-0.037630664,-1.209011525,0.035748733,0.017033339,0.791759663,1.411918831,2.548283872,1.136365041,1.620021675,0.208113691,-0.92825135,-3.437310145,-2.645550482,-1.300399158,2.699600842,0.562689855,1.354449518,-2.548273025,-1.411907984,1.136365041,-3.811088832,-2.67472379,-1.262815807,NA,NA,NA,NA,NA,NA,0.644284021,NA,-5.23855346,NA,NA,-3.975737654,NA,4.091406493,3.207422618,5.542700969,2.945070667,1.716481413,4.46313265,1.228589254,1.518061984,2.746651237,0.883983875
5,BAR 1 23-36,Soil,23,36,29.5,WM,BAR,B,B,A,2.777,1.58,538.4,0.1,3870,43.50383512,5.88,6.54,6.37,87.69,5.94,R,NA,NA,NA,NA,18.76,39.6,0.473737374,262.8276,1226.412,0.214283384,1.74982113,0.056500521,0.142678083,0.1226412,0.1061,0.02628276,0.02,2500,0.25,11.09861407,5.257828283,2.730193852,6.036689841,1.837381637,0.175032837,0.028994837,8.98E-05,0.000245163,22.06879084,0.897970098,2.451632441,0.01578052,0.095262102,6.036689841,0.000139258,0.000840655,0.008824656,0.002206879,10.4976161,63.37085249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16729.30909,1581.381818,1194.379054,51.06173129,23.3908844,10.57891832,429500,35759.78086,29.94006028,700.3244888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,208.21,NA,NA,NA,NA,NA,1.29578694,1.597695186,2.318501584,-0.324462352,1.04526875,0.720806398,2.421320227,3.088636391,3.397940009,-0.669011503,0.242993657,-1.247947549,-0.845642735,-0.911363609,-0.602059991,-0.974284616,0.011267033,0.008600172,0.436193484,1.021090687,1.801889549,0.780798863,0.264199372,-0.756880467,-1.53767933,-4.046738125,-3.610544641,-2.656221461,1.343778539,-0.046738125,0.389455359,-1.801878702,-1.021079839,0.780798863,-3.856180914,-3.075382052,-2.054302213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.223478005,3.199036741,5.632963168,3.077142178,1.708095536,4.553394849,1.369046643,1.47625267,2.845299313,1.024441264
6,BAR 1 36-60,Soil,36,60,48,WM,BAR,B,B,A,2.777,1.58,538.4,0.1,3870,43.75462107,5.76,6.56,12.75,82.37,4.88,R,NA,NA,NA,NA,0,39.52,NA,0,1223.9344,NA,1.605470254,0.05183953,0.131172901,0.12239344,0.3142,0,0,880,0.088,NA,1.851467611,NA,NA,0.986777947,NA,NA,NA,NA,11.85218992,NA,NA,NA,NA,NA,NA,NA,0.0134861,0.001185219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,349900,29132.35698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.17,NA,NA,NA,NA,NA,0,1.596816936,1.864333055,NA,NA,0.267516119,0,3.087758141,2.944482672,NA,0.205602263,-1.285338942,-0.882155878,-0.912241859,-1.055517328,-0.502793819,0,0,NA,NA,NA,NA,-0.005780565,NA,NA,NA,NA,-2.926201398,1.073798602,NA,NA,NA,NA,NA,NA,NA,-1.87011362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.543943942,NA,NA,4.464375623,NA,NA,NA,NA
7,BAR 1 60-81,Soil,60,81,70.5,WM,BAR,B,B,A,2.777,1.58,538.4,0.1,3870,44.59051757,5.61,6.52,25.05,70.43,4.52,R,NA,NA,NA,NA,0,42.57,NA,0,1318.3929,NA,0.582628869,0.018812685,0.044192355,0.13183929,0.2981,0,0,920,0.092,NA,1.802208128,NA,NA,0.50609677,NA,0.000242276,7.50E-07,NA,6.078728301,0.007503295,NA,0.000478715,NA,NA,3.16E-06,NA,0.006596673,0.000607873,NA,2088.976703,0.281893419,0.127491009,20.66279815,73.30003727,54.42757107,0.000269327,0.000955423,0.040827761,0.144834035,0.000709431,0.107543803,2.634085213,0.742531288,NA,NA,NA,NA,NA,NA,259500,21605.73489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.72,NA,NA,NA,NA,NA,0,1.62910365,1.884908594,NA,NA,0.255804944,0,3.120044856,2.963787827,NA,-0.234608,-1.725549205,-1.354652856,-0.879955144,-1.036212173,-0.525638024,0,0,NA,NA,3.319933597,NA,-0.295766435,NA,-3.615689184,-6.124747978,NA,-3.216187268,0.783812732,-2.124747978,NA,-3.319922749,NA,NA,-5.500597778,NA,-2.180675029,-0.549915062,0.42062982,-0.129285242,-0.894520441,1.735818954,1.315189133,1.865104195,-3.569719461,-3.019804399,-3.149089641,-1.389044432,-0.83912937,-0.968414612,NA,NA,5.414137362,NA,NA,4.334569043,NA,NA,NA,NA
9,BAR 1 81-109+,Soil,81,152,116.5,WM,BAR,B,B,A,2.777,1.58,538.4,0.1,3870,46.21527796,5.53,6.56,27.62,67.86,4.52,R,NA,NA,NA,NA,0,50.82,NA,0,1573.8954,NA,0.535089189,0.017277662,0.033997761,0.15738954,1.203,0,0,590,0.059,NA,0.96635183,1.96131924,4.336642955,NA,0.103374559,0.023837461,7.38E-05,0.000144794,NA,0.73824618,1.447936437,NA,NA,NA,0.000485389,0.002104959,NA,NA,NA,NA,0.132596685,0.059969066,1.194872503,9.011330129,1.958263269,2.43E-05,0.000183493,NA,NA,3.99E-05,NA,1.638888889,0.217311234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.11,NA,NA,NA,NA,NA,0,1.706034661,1.691169934,NA,NA,-0.014864727,0,3.196975866,2.770852012,NA,-0.271573823,-1.762515029,-1.46854969,-0.803024134,-1.229147988,0.080265627,0,0,0.292548289,NA,NA,0.637153667,NA,-0.98558633,-1.622739997,-4.131798792,-3.839250503,NA,NA,-0.131798792,0.160749497,NA,NA,NA,-3.313909931,-2.676756264,NA,-0.877467333,0.214549511,-0.662917822,-1.222072712,0.291871078,0.077321567,0.9547889,-4.613848367,-3.736381034,-4.399298856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,BAR 2 0-3,Soil,0,3,1.5,WM,BAR,A,A,B,2.777,1.58,538.4,0.1,3870,45.80784069,5.14,5.98,25.86,67.67,6.46,S,0.2529,0.1741,2.82,0.27,249.55,55.9,4.464221825,3496.1955,1731.223,2.019167225,10.03267428,0.323948152,0.579513689,0.1731223,0.0155,0.34961955,0.03,42350,4.235,14.13015428,63.08014311,6.767496837,14.96350868,68.93352743,3.064731359,0.204813685,0.000634308,0.004292677,827.960598,6.343079835,42.92677272,0.002971177,0.044459227,14.96350868,5.81E-05,0.000869136,0.019549067,0.08279606,22.49308053,336.5754057,NA,NA,NA,312.9192829,180.8761256,NA,8.87E-05,NA,0.004539435,5.13E-05,0.002623921,NA,0.578028059,11063.00518,732.124352,789.8366625,23.6397918,33.41132059,15.11082803,490200,40813.60787,51.67347859,1726.479159,32.48,2.21,1.52,0.36,52.4386772,0.84323158,10.51,55.49,0.19,34,66.37,51.9,14,33.3,0,0,0,0,0,85.2,14,3526.18,34.1944053,-0.597051171,-0.759201229,0.450249108,-0.568636236,2.398894407,1.747411808,3.547304478,0.649745766,1.150146904,1.79989267,3.543719911,3.238353013,4.626853415,0.305172288,1.001416713,-0.489524493,-0.236936301,-0.761646987,0.626853415,-1.809668302,0.130211361,0.012837225,0.830428061,1.352048938,2.527082378,1.17503344,1.838430503,0.486392412,-0.688641028,-3.197699822,-2.367271761,-1.08199033,2.91800967,0.802300178,1.632728239,-2.52707153,-1.35203809,1.17503344,-4.235945506,-3.060912066,-1.708873975,NA,NA,-0.23805108,NA,2.257381247,NA,2.495432326,NA,-4.051872152,-4.289923231,NA,-2.342998176,-2.581049256,4.043873116,2.864584853,5.690373307,2.897537289,1.373643647,4.610804987,1.523893642,1.713267699,3.23716134,1.179288263
14,BAR 2 3-6,Soil,3,6,4.5,WM,BAR,A,A,B,2.777,1.58,538.4,0.1,3870,44.97546163,5.22,5.94,26.51,67.45,6.04,S,NA,NA,NA,NA,166.25,41.1,4.045012165,2329.1625,1272.867,1.829258904,NA,NA,NA,0.1272867,0.0134,0.23291625,0.02,27300,2.73,13.67085714,55.29878345,NA,NA,34.92715562,1.021175592,NA,NA,0.00143033,419.5100662,NA,14.30330016,NA,0.029237296,NA,NA,0.000449307,0.015367592,0.041951007,34.20374352,NA,NA,NA,NA,131.5761745,89.52168294,NA,5.79E-05,NA,0.00376716,3.94E-05,0.002563097,NA,0.680379129,9304.355972,942.576112,664.2789502,30.43513439,21.82605609,9.871198573,481900,40122.55739,60.40016378,1318.297362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2272.78,NA,NA,NA,NA,NA,2.223366126,1.613841822,3.356557399,0.606919832,1.135795745,1.742715577,3.367386209,3.104783027,4.436162647,0.262275178,NA,NA,NA,-0.895216973,0.436162647,-1.872895202,0.090933577,0.008600172,NA,1.534073641,NA,NA,1.543163219,0.009100426,NA,NA,-2.844563747,-1.377257614,2.622742386,NA,1.155436253,NA,-1.534062794,NA,NA,-3.347456973,-1.81339418,NA,NA,-0.167249017,NA,1.951928238,NA,2.119177255,NA,-4.237380144,-4.404629161,NA,-2.423985964,-2.591234981,3.968686318,2.974316429,5.682956926,2.822350491,1.483375224,4.603388607,1.338975267,1.781038116,3.120013383,0.994369888
16,BAR 2 6-24,Soil,6,24,15,WM,BAR,B,B,B,2.777,1.58,538.4,0.1,3870,43.80956161,5.5,6.2,16.25,77.23,6.52,S,NA,NA,NA,NA,73.53,42.02,1.749881009,1030.1553,1301.3594,0.791387802,1.208876741,0.039033799,0.092893381,0.13013594,0.0838,0.10301553,0.07,10700,1.07,12.11818305,21.20537839,0.163669589,0.361887324,1.073914188,0.008678129,0.023980196,7.43E-05,1.22E-05,12.89878331,0.74266667,0.121551949,0.022329713,0.00808084,0.361887324,2.69E-05,9.74E-06,0.001205223,0.001289878,123.7525987,44.78449684,0.186354073,0.084281743,4.201290727,22.54466814,25.95991093,4.71E-06,2.53E-05,0.003912129,0.020992988,2.91E-05,0.024173171,6.179032259,1.151487827,8098.190955,693.768844,578.1655176,22.40131882,25.80944105,11.67275098,502600,41846.02063,72.37723344,1868.01594,22,1.63,0.24,1.02,42.22554664,0.352051882,32.54,44.21,0.74,22.24,77.77,42,0,21.5,0,0,37.2,0,0,63.5,37.2,891.05,3.442739063,NA,NA,NA,NA,1.872331121,1.623456048,2.949902075,0.243008518,1.083437509,1.326446026,3.013324078,3.114397253,4.029383778,-0.101610648,0.082382022,-1.408559184,-1.032015232,-0.885602747,0.029383778,-1.076755981,0.042581627,0.029383778,-0.786032007,2.092554328,1.651127699,-0.441426628,0.03096958,-2.0615739,-1.620147272,-4.129206066,-4.915238073,-2.889451253,1.110548747,-0.129206066,-0.915238073,-1.651116852,-2.09254348,-0.441426628,-4.570049346,-5.011475975,-2.918932495,-0.729661111,0.790920463,0.061259351,-1.07426649,1.414303198,0.623382736,1.353043847,-5.326519339,-4.596858228,-4.535598876,-2.407586845,-1.677925733,-1.616666382,3.908388013,2.841214793,5.701222484,2.762052186,1.350273587,4.621654165,1.411778599,1.859601979,3.271380578,1.067173221
13,BAR 2 24-45,Soil,24,45,34.5,WM,BAR,B,B,B,2.777,1.58,538.4,0.1,3870,45.0370836,5.49,6.22,12.88,81.35,5.77,S,NA,NA,NA,NA,31.48,38.42,0.819364914,441.0348,1189.8674,0.370482105,0.988096333,0.031904951,0.083042559,0.11898674,0.155,0.04410348,0.06,4240,0.424,11.22236341,9.195210828,4.88564639,10.80257796,0.197061024,0.282424527,0.026144179,8.10E-05,0.000395584,2.366899961,0.809685209,3.955835618,0.132670469,1.433183086,10.80257796,7.40E-05,0.000799435,0.000557804,0.00023669,0.697764987,7.537660672,0.342224857,0.15477691,12.43152363,36.32560109,33.36127126,3.52E-05,0.000102824,0.063084639,0.184336813,9.44E-05,0.169294113,2.683602771,0.918395574,10110.10753,990.967742,721.8051026,31.99766684,22.55805419,10.20225695,419400,34918.86401,48.37713656,1091.294068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,353.28,NA,NA,NA,NA,NA,1.511616021,1.584557361,2.548119052,-0.086522637,1.050084328,0.963561691,2.645456461,3.075498566,3.627365857,-0.431232765,-0.005200712,-1.496141918,-1.080699278,-0.924501434,-0.372634143,-0.809668302,0.018743543,0.025305865,0.688922031,-0.156290827,0.877236583,1.033527409,-0.705399264,-0.54909759,-1.582625,-4.091683794,-3.402761764,-3.625820098,0.374179902,-0.091683794,0.597238236,-0.877225735,0.156301674,1.033527409,-4.130744051,-3.097216642,-3.253518316,-0.46568845,0.428718232,-0.036970218,-0.810293828,1.523242591,1.09452436,1.560212809,-4.453594692,-3.987906242,-4.02487646,-1.200076376,-0.734387926,-0.771358144,4.004755775,2.996059518,5.622628426,2.858419948,1.505118312,4.543060107,1.353301636,1.684640159,3.037941795,1.008696257
15,BAR 2 45-64,Soil,45,64,54.5,WM,BAR,B,B,B,2.777,1.58,538.4,0.1,3870,45.49589308,5.37,6.24,22.65,71.84,5.51,S,NA,NA,NA,NA,18.26,33.21,0.549834387,255.8226,1028.5137,0.248694587,0.776637042,0.025077076,0.075510617,0.10285137,0.209,0.02558226,0.05,2340,0.234,10.68291347,5.873833183,78.8466237,174.3365629,3.563393604,0.930989693,0.005340186,1.65E-05,0.001304009,42.79992058,0.165385564,13.04009333,0.001498624,0.261264905,174.3365629,2.74E-05,0.004772593,0.018267256,0.004279992,3.827628423,667.2955834,NA,NA,NA,50.60230708,4.199154156,NA,0.000259406,NA,0.014200594,2.15E-05,0.001178414,NA,0.082983453,5977.822785,713.620253,426.7830956,23.04230717,18.52171714,8.376756069,452500,37674.74002,88.27608313,1635.024642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,195.07,NA,NA,NA,NA,NA,1.284656283,1.521268876,2.290190484,-0.259768102,1.028689711,0.768921608,2.409633238,3.012210081,3.369215857,-0.604333668,-0.109781899,-1.600723105,-1.12199198,-0.987789919,-0.630784143,-0.679853714,0.0109705,0.021189299,1.896783101,0.582929771,2.82431825,2.24138848,0.551863796,-0.031055127,-2.272443607,-4.781502401,-2.8847193,-2.368557037,1.631442963,-0.781502401,1.1152807,-2.824307403,-0.582918923,2.24138848,-4.562634091,-2.321245611,-1.738326688,NA,NA,-1.081008499,NA,0.623161818,NA,1.704170318,NA,-3.586020166,-4.667028666,NA,-1.847693478,-2.928701978,3.776543036,2.853467167,5.655618584,2.630207209,1.362525962,4.576050264,1.267681247,1.945843055,3.213524302,0.923075869
17,BAR 2 64-81,Soil,64,81,72.5,WM,BAR,B,B,B,2.777,1.58,538.4,0.1,3870,45.16918884,5.37,6.24,24.81,68.52,6.67,S,NA,NA,NA,NA,13.59,46.68,0.291131105,190.3959,1445.6796,0.131702728,0.843487179,0.027235621,0.058345375,0.14456796,0.2646,0.01903959,0.03,1540,0.154,9.434142752,2.746572408,19.375041,42.83985663,0.736411205,0.626179301,0.014616746,4.53E-05,0.000877071,8.845034984,0.452680622,8.770705613,0.01984862,0.850312022,42.83985663,0.000114006,0.004884013,0.005743789,0.000884503,1.176068257,50.38259552,NA,NA,NA,36.75070527,16.5092916,NA,0.000286645,NA,0.049905141,0.000128768,0.022418577,NA,0.449223803,11333.43066,880.291971,809.1435285,28.42402231,28.46689042,12.87462687,392600,32687.52029,40.39767871,1149.996293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128.21,NA,NA,NA,NA,NA,1.164055292,1.669130847,2.1079219,-0.535911391,0.974702443,0.438791053,2.28193263,3.160072053,3.187520721,-0.880405229,-0.073921514,-1.56486272,-1.233993567,-0.839927947,-0.812479279,-0.57741016,0.008191057,0.012837225,1.28724263,0.070432528,1.702280537,1.631848009,-0.132879612,-0.203301293,-1.835149301,-4.344208096,-3.056965466,-3.053300445,0.946699555,-0.344208096,0.943034534,-1.702269689,-0.070421681,1.631848009,-3.943071202,-2.311223193,-2.240801512,NA,NA,-0.347537239,NA,1.217728438,NA,1.565265678,NA,-3.542656222,-3.890193462,NA,-1.30185471,-1.64939195,4.054361392,2.944626741,5.593950295,2.908025565,1.453685535,4.514381976,1.45434003,1.606356411,3.06069644,1.109734651
18,BAR 2 81-132,Soil,81,132,106.5,WM,BAR,C,C,B,2.777,1.58,538.4,0.1,3870,46.7623594,5.32,6.33,9.46,86.71,3.83,S,NA,NA,NA,NA,0,75.43,NA,0,2336.0671,NA,0.611225475,0.01973605,0.026164723,0.23360671,1.2825,0,0,680,0.068,NA,0.751160016,NA,NA,1.053150172,0.088934349,NA,NA,0.000124568,12.64938672,NA,1.245676742,NA,0.084446028,NA,NA,0.001569614,0.01858719,0.001264939,11.84217901,NA,0.096467391,0.04362899,0.921745247,9.554992981,1.304723906,1.63E-05,0.000168637,0.000875227,0.009072774,2.30E-05,0.001238877,1.415492958,0.136548913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.47,0.15,0,0,2.766713288,0.165710967,5.44,3.09,1.76,91.47,8.53,102.1,0,0,0,0,0,0,0,102.1,0,56.66,0.533489715,NA,NA,NA,NA,0,1.877544108,1.75327657,NA,NA,-0.124267538,0,3.368485313,2.832508913,NA,-0.213798553,-1.704739759,-1.582283866,-0.631514687,-1.167491087,0.108057374,0,0,NA,1.073431622,NA,NA,0.022490303,-1.050930471,NA,NA,-3.904594644,-2.89793053,1.10206947,NA,0.095405356,NA,-1.073420774,NA,NA,-2.804207041,-1.730786267,-1.015619466,0.150907713,-0.864711752,-1.360224844,0.11551862,-0.035389093,0.980230372,-4.788665663,-3.773046198,-4.63775795,-3.057879396,-2.042259931,-2.906971683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,BAR 2 132-172+,Soil,132,172,152,WM,BAR,C,C,B,2.777,1.58,538.4,0.1,3870,47.52217426,5.36,6.3,3.22,91.63,5.15,S,NA,NA,NA,NA,0,59.36,NA,0,1838.3792,NA,0.470952459,0.015206731,0.025617808,0.18383792,0.7917,0,0,350,0.035,NA,0.485343666,NA,NA,NA,NA,0.01304598,4.04E-05,NA,NA,0.404034,NA,NA,NA,NA,0.000452828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.81,NA,NA,NA,NA,NA,0,1.773493892,1.459543258,NA,NA,-0.313950634,0,3.264435098,2.544068044,NA,-0.327022931,-1.817964137,-1.591458029,-0.735564902,-1.455931956,-0.101439355,0,0,NA,NA,NA,NA,NA,NA,-1.884523292,-4.393582087,NA,NA,NA,-0.393582087,NA,NA,NA,NA,-3.344066551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,BAR 3 0-5,Soil,0,5,2.5,WM,BAR,A,A,C,2.777,1.58,538.4,0.1,3870,44.52831737,5,5.8,27.41,66.76,5.83,T,0.3088,0.237,1.66,0.32,185.79,30.13,6.166279456,2602.9179,933.1261,2.789099678,1.946831583,0.062861853,0.208635423,0.09331261,0.0161,0.26029179,0.04,30910,3.091,13.85392109,85.42714902,NA,NA,5.815271823,0.139118498,NA,NA,0.000194859,69.84722987,NA,1.948591072,NA,0.023922957,NA,NA,5.40E-05,0.002259306,0.006984723,41.80189652,NA,0.123932008,0.056050322,8.832609039,71.26979674,42.23371622,3.43E-06,2.77E-05,0.001518864,0.012255626,1.64E-05,0.007262552,4.781567489,0.592589262,10136.45356,835.512666,723.6860617,26.97812935,26.8249163,12.13201663,472800,39364.89963,54.3949949,1459.141185,40.16,1.11,0.93,0,25.51286849,0.071229816,32.22,26.69,1.21,41.09,58.91,28.2,0,38.1,0,0,0,0,33.7,66.3,33.7,2573.92,27.37552035,-0.510322708,-0.625251654,0.220108088,-0.494850022,2.271353622,1.478999132,3.410595044,0.790023203,1.14157271,1.931595913,3.415627287,2.969940337,4.490099005,0.445464036,0.289328383,-1.201612822,-0.680611954,-1.030059663,0.490099005,-1.793174124,0.100471107,0.017033339,NA,1.621195986,NA,NA,0.76457002,-0.856615119,NA,NA,-3.710279292,-2.155850813,1.844149187,NA,0.289720708,NA,-1.621185138,NA,NA,-4.267210163,-2.646025025,-0.906816513,0.67957029,-0.227246223,-1.251421891,1.625659297,0.946089008,1.85290552,-5.464506037,-4.557689524,-4.784935747,-2.818481012,-1.9116645,-2.138910722,4.005886035,2.921953038,5.674677468,2.859550208,1.431011833,4.595109148,1.428538375,1.73555894,3.164097316,1.083932997
